gameid,url,league,split,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
6208-7829,https://lpl.qq.com/es/stats.shtml?bmid=6208,LPL,2020-2,6/9/2020 11:01,3,10.11,10,Red,sup,Duan,LNG Esports,Leona,Varus,Nidalee,Thresh,Rumble,Yuumi,1882,1,1,4,13,27,12,NULL,NULL,0,0,NULL,0,NULL,NULL,0.8608,1.2434,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4004,127.6514,0.0577544,46,1.4665,21,0.6695,14,NULL,NULL,8253,4138,131.9235,0.0962161,NULL,NULL,41,41,0,0,0,1.3071,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6208-7829,https://lpl.qq.com/es/stats.shtml?bmid=6208,LPL,2020-2,6/9/2020 11:01,3,10.11,100,Blue,team,,FunPlus Phoenix,,Syndra,Mordekaiser,Kalista,Ornn,Renekton,1882,0,12,27,30,12,27,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0.3826,1.2434,NULL,0,4,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,0,3,10,NULL,NULL,NULL,NULL,67202,2142.4655,NULL,96,3.0606,47,1.4984,49,NULL,NULL,51256,30682,978.1722,NULL,NULL,NULL,925,744,181,134,16,29.4899,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6208-7829,https://lpl.qq.com/es/stats.shtml?bmid=6208,LPL,2020-2,6/9/2020 11:01,3,10.11,200,Red,team,,LNG Esports,,Varus,Nidalee,Thresh,Rumble,Yuumi,1882,1,27,12,68,27,12,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0.8608,1.2434,NULL,4,0,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,1,0,1,10,3,NULL,NULL,NULL,NULL,69328,2210.2444,NULL,91,2.9012,47,1.4984,34,NULL,NULL,63583,43009,1371.169,NULL,NULL,NULL,986,775,211,121,21,31.4346,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6209-7830,https://lpl.qq.com/es/stats.shtml?bmid=6209,LPL,2020-2,6/9/2020 12:00,1,10.11,1,Blue,top,Crazy,Rogue Warriors,Ornn,Syndra,LeBlanc,Senna,Wukong,Zoe,2190,0,1,4,5,12,21,NULL,NULL,0,0,NULL,0,NULL,NULL,0.3288,0.9041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15344,420.3836,0.181547,17,0.4658,2,0.0548,5,NULL,NULL,12386,7643,209.3973,0.195084,NULL,NULL,269,251,18,17,0,7.3699,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6209-7830,https://lpl.qq.com/es/stats.shtml?bmid=6209,LPL,2020-2,6/9/2020 12:00,1,10.11,2,Blue,jng,Youdang,Rogue Warriors,Trundle,Syndra,LeBlanc,Senna,Wukong,Zoe,2190,0,2,4,8,12,21,NULL,NULL,0,0,NULL,0,NULL,NULL,0.3288,0.9041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9900,271.2329,0.117135,11,0.3014,8,0.2192,12,NULL,NULL,11394,6651,182.2192,0.169763,NULL,NULL,147,19,128,67,4,4.0274,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6209-7830,https://lpl.qq.com/es/stats.shtml?bmid=6209,LPL,2020-2,6/9/2020 12:00,1,10.11,3,Blue,mid,Ruby,Rogue Warriors,Azir,Syndra,LeBlanc,Senna,Wukong,Zoe,2190,0,5,5,4,12,21,NULL,NULL,0,0,NULL,0,NULL,NULL,0.3288,0.9041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29468,807.3425,0.348659,19,0.5205,9,0.2466,6,NULL,NULL,14709,9966,273.0411,0.254379,NULL,NULL,281,257,24,20,0,7.6986,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6209-7830,https://lpl.qq.com/es/stats.shtml?bmid=6209,LPL,2020-2,6/9/2020 12:00,1,10.11,4,Blue,bot,ZWuJi,Rogue Warriors,Aphelios,Syndra,LeBlanc,Senna,Wukong,Zoe,2190,0,3,4,5,12,21,NULL,NULL,0,0,NULL,0,NULL,NULL,0.3288,0.9041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22241,609.3425,0.263151,13,0.3562,17,0.4658,3,NULL,NULL,15217,10474,286.9589,0.267346,NULL,NULL,334,310,24,24,0,9.1507,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6209-7830,https://lpl.qq.com/es/stats.shtml?bmid=6209,LPL,2020-2,6/9/2020 12:00,1,10.11,5,Blue,sup,Ley,Rogue Warriors,Bard,Syndra,LeBlanc,Senna,Wukong,Zoe,2190,0,1,4,11,12,21,NULL,NULL,0,0,NULL,0,NULL,NULL,0.3288,0.9041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7565,207.2603,0.0895076,90,2.4658,13,0.3562,19,NULL,NULL,9187,4444,121.7534,0.113429,NULL,NULL,49,49,0,0,0,1.3425,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6209-7830,https://lpl.qq.com/es/stats.shtml?bmid=6209,LPL,2020-2,6/9/2020 12:00,1,10.11,6,Red,top,369,Top Esports,Aatrox,Varus,Kalista,Ezreal,Nautilus,Leona,2190,1,4,1,8,21,12,NULL,NULL,0,0,NULL,0,NULL,NULL,0.5753,0.9041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14299,391.7534,0.149151,10,0.274,7,0.1918,7,NULL,NULL,15409,10666,292.2192,0.221696,NULL,NULL,299,266,33,16,9,8.1918,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6209-7830,https://lpl.qq.com/es/stats.shtml?bmid=6209,LPL,2020-2,6/9/2020 12:00,1,10.11,7,Red,jng,Karsa,Top Esports,Lee Sin,Varus,Kalista,Ezreal,Nautilus,Leona,2190,1,4,1,10,21,12,NULL,NULL,0,0,NULL,1,NULL,NULL,0.5753,0.9041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15190,416.1644,0.158445,23,0.6301,14,0.3836,12,NULL,NULL,13143,8400,230.137,0.174596,NULL,NULL,212,27,185,106,25,5.8082,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6209-7830,https://lpl.qq.com/es/stats.shtml?bmid=6209,LPL,2020-2,6/9/2020 12:00,1,10.11,8,Red,mid,knight,Top Esports,Kassadin,Varus,Kalista,Ezreal,Nautilus,Leona,2190,1,11,2,7,21,12,NULL,NULL,1,0,NULL,0,NULL,NULL,0.5753,0.9041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43396,1188.9315,0.452659,9,0.2466,12,0.3288,5,NULL,NULL,19607,14864,407.2329,0.308954,NULL,NULL,398,357,41,33,4,10.9041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6209-7830,https://lpl.qq.com/es/stats.shtml?bmid=6209,LPL,2020-2,6/9/2020 12:00,1,10.11,9,Red,bot,QiuQiu,Top Esports,Miss Fortune,Varus,Kalista,Ezreal,Nautilus,Leona,2190,1,1,5,10,21,12,NULL,NULL,0,0,NULL,0,NULL,NULL,0.5753,0.9041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15489,424.3562,0.161564,19,0.5205,22,0.6027,6,NULL,NULL,14530,9787,268.137,0.203425,NULL,NULL,348,318,30,30,0,9.5342,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6209-7830,https://lpl.qq.com/es/stats.shtml?bmid=6209,LPL,2020-2,6/9/2020 12:00,1,10.11,10,Red,sup,yuyanjia,Top Esports,Thresh,Varus,Kalista,Ezreal,Nautilus,Leona,2190,1,1,3,16,21,12,NULL,NULL,0,0,NULL,0,NULL,NULL,0.5753,0.9041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7495,205.3425,0.0781796,66,1.8082,15,0.411,16,NULL,NULL,9137,4394,120.3836,0.0913282,NULL,NULL,43,43,0,0,0,1.1781,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
